movieId,userId,score,title,genres,imdb_url
6682,28,4.6256466,Earth (1998),Drama|War,https://www.imdb.com/title/tt0150433
84844,28,4.6067405,Brother 2 (Brat 2) (2000),Crime|Drama,https://www.imdb.com/title/tt0238883
7843,28,4.4064403,Lammbock (2001),Comedy,https://www.imdb.com/title/tt0258760
3746,28,4.389674,Butterfly (La lengua de las mariposas) (1999),Drama,https://www.imdb.com/title/tt0188030
136,28,4.340755,From the Journals of Jean Seberg (1995),Documentary,https://www.imdb.com/title/tt0113125
8421,28,4.327501,Dying of Laughter (Muertos de Risa) (1999),Comedy,https://www.imdb.com/title/tt0168080
5465,28,4.2852893,All About Lily Chou-Chou (Riri Shushu no subete) (2001),Crime|Drama|Thriller,https://www.imdb.com/title/tt0297721
53883,28,4.2444034,"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",Documentary,https://www.imdb.com/title/tt0430484
3881,28,4.243343,Phish: Bittersweet Motel (2000),Documentary,https://www.imdb.com/title/tt0168515
5681,28,4.2421904,Fidel (2001),Documentary,https://www.imdb.com/title/tt0292508
73089,31,5.172002,Beyond a Reasonable Doubt (2009),Drama|Mystery,https://www.imdb.com/title/tt1183251
27064,31,5.1590366,Batman & Mr. Freeze: Subzero (1998),Action|Animation|Children|Crime,https://www.imdb.com/title/tt0143127
80222,31,5.082612,Step Up 3D (2010),Drama|Romance,https://www.imdb.com/title/tt1193631
6311,31,4.968701,"Other Side of Heaven, The (2001)",Adventure|Drama,https://www.imdb.com/title/tt0250371
92494,31,4.9686794,Dylan Moran: Monster (2004),Comedy|Documentary,https://www.imdb.com/title/tt0439553
620,31,4.965512,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),Drama,https://www.imdb.com/title/tt0102855
86237,31,4.9016905,Connections (1978),Documentary,https://www.imdb.com/title/tt0078588
771,31,4.852938,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)",Comedy|Drama,https://www.imdb.com/title/tt0094265
5985,31,4.8501096,Asoka (Ashoka the Great) (2001),Action|Drama|Romance,https://www.imdb.com/title/tt0249371
50796,31,4.7657213,Blood and Chocolate (2007),Drama|Fantasy|Horror|Romance,https://www.imdb.com/title/tt0397044
86237,34,5.3540773,Connections (1978),Documentary,https://www.imdb.com/title/tt0078588
26347,34,5.2801127,"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0073179
98956,34,5.0091496,Barfi! (2012),Comedy|Drama|Romance,https://www.imdb.com/title/tt2082197
92500,34,4.9394712,"Dylan Moran: Yeah, Yeah (2011)",Comedy,https://www.imdb.com/title/tt2114375
86504,34,4.819876,Voices from the List (2004),Documentary,https://www.imdb.com/title/tt0405455
55106,34,4.7882566,Design for Living (1933),Comedy|Romance,https://www.imdb.com/title/tt0023940
2762,34,4.7307034,"Sixth Sense, The (1999)",Drama|Horror|Mystery,https://www.imdb.com/title/tt0167404
27922,34,4.7123694,Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998),Comedy|Documentary,https://www.imdb.com/title/tt0500140
69830,34,4.707317,Iron Maiden: Flight 666 (2009),Documentary,https://www.imdb.com/title/tt1361558
27550,34,4.703887,Hell House (2001),Documentary,https://www.imdb.com/title/tt0301235
26453,53,5.6771264,Smiley's People (1982),Drama|Mystery,https://www.imdb.com/title/tt0083480
32649,53,5.4586034,"Special Day, A (Giornata particolare, Una) (1977)",Drama|War,https://www.imdb.com/title/tt0076085
70295,53,5.1008153,"Beaches of Agnes, The (Plages d'Agnès, Les) (2008)",Documentary,https://www.imdb.com/title/tt1129435
